0
DGAT3
PRN1
MGD2
VHA-E2
RPT5B
MEMB11
GG3
FIS1A
ELM1
SYP73
SYP42
ATG10
NPC1
ATG7
MQD22.17
THF1
VHA-e1
FAB1C
DGAT2
GG2
T2K12.16
SQD2
SYP51
ATG101
TIP41L
GCR1
YKT61
SYP112
VHA-B2
VAMP727
Dl4805W
BAK1
PAH2
FAB1D
ATG16
PDAT1
ATG9
RGS1
VHA-B3
PI4KB1
YKT62
MTM1
HXK1
T2K12.9
SDP1L
NPSN13
SYP61
VHA-e2
VHA-E1
PLDALPHA1
MGD1
SAC5
SDP1
GCR2
LPP1
ATG3
FAB1A
LPP4
MGD3
AAPT1
PI4KA1
AAPT2
SYP52
PTEN2A
PDAT2
VTI12
VPS3
MTM2
SYP41
VHA-G1
LPAT2
PLPZETA2
RIC4
SAC3
SAC1
NPSN11
ATG6
GB1
VTI11
GG1
VHA-a2
LPP3
PIS1
SAC7
DGAT1
PP2AA3
VHA-d1
FAB1B
FIS1B
SEC22
LPP2
RIC1
VHA-a1
